stop_name,type
솔샘,subway
북한산보국문,subway
정릉,subway
성신여대입구,subway
보문,subway
까치산,subway
시청,subway
이촌,subway
석촌,subway
송파,subway
가락시장,subway
문정,subway
장지,subway
복정,subway
산성,subway
남한산성입구,subway
단대오거리,subway
오리,subway
간석오거리,subway
종로3가,subway
종로5가,subway
동대문,subway
신설동,subway
제기동,subway
청량리,subway
동묘앞,subway
대곡,subway
충무로,subway
죽전,subway
청계산입구,subway
신설동,subway
소사,subway
소새울,subway
시흥대야,subway
신천,subway
신현,subway
시흥시청,subway
시흥능곡,subway
달미,subway
선부,subway
초지,subway
원곡,subway
원시,subway
양촌,subway
구래,subway
마산,subway
장기,subway
운양,subway
걸포북변,subway
사우,subway
풍무,subway
고촌,subway
김포공항,subway
서초,subway
이매,subway
소요산,subway
남동구청,subway
왕십리,subway
판교,subway
신포,subway
신내,subway
상왕십리,subway
삼가,subway
한남,subway
지제,subway
전대.에버랜드,subway
대림,subway
아시아드경기장,subway
신설동,subway
도림천,subway
양천구청,subway
용두,subway
중랑,subway
기흥,subway
검단오류,subway
용산,subway
수원,subway
화정,subway
언주,subway
기흥,subway
서울역,subway
시청,subway
종각,subway
화계,subway
삼양,subway
회기,subway
가좌,subway
종로2가사거리,bus
창경궁.서울대학교병원,bus
명륜3가.성대입구,bus
종로2가.삼일교,bus
혜화동로터리.여운형활동터,bus
경기상고,bus
신교동,bus
경기상고,bus
경복고교,bus
청운중학교,bus
자하문고개.윤동주문학관,bus
자하문고개.윤동주문학관,bus
청운중학교,bus
경복고교,bus
통인시장종로구보건소,bus
통인시장종로구보건소,bus
효자동,bus
사직단.어린이도서관,bus
사직동주민센터,bus
경복궁역,bus
경복궁역,bus
경복궁,bus
KT광화문지사,bus
광화문,bus
서울역사박물관.경교장.강북삼성병원,bus
광화문.금호아시아나본관앞,bus
광화문,bus
세종문화회관,bus
서울지방경찰청.경복궁역,bus
사직단,bus
광화문광화문빌딩,bus
덕성여중고,bus
안국역.종로경찰서.인사동,bus
국민은행세검정지점,bus
세검정초등학교,bus
세검정.상명대,bus
상명대입구.석파랑,bus
하림각,bus
자하문터널입구.석파정,bus
부암동주민센터.무계원,bus
부암동주민센터.무계원,bus
자하문터널입구.석파정,bus
하림각,bus
상명대입구.세검정교회,bus
세검정.상명대,bus
세검정초등학교,bus
국민은행세검정지점,bus
승가사입구,bus
구기동현대빌라,bus
구기터널.삼성출판박물관,bus
구기터널.삼성출판박물관,bus
구기동,bus
구기동,bus
승가사입구,bus
갑을씨티텔앞,bus
평창파출소,bus
평창동주민센터,bus
일성아파트,bus
롯데아파트,bus
롯데아파트,bus
벽산평창힐스아파트,bus
예능교회,bus
서울예술고등학교.평창동주민센터,bus
화정박물관,bus
독립문역.서대문형무소역사관,bus
서대문.서울시교육청,bus
독립문,bus
창덕궁.서울돈화문국악당,bus
무교동,bus
청계1가.광교,bus
청계2가.수표교,bus
청계4가.세운교,bus
청계5가.광장시장,bus
원남동,bus
창덕궁.서울돈화문국악당,bus
안국역.종로경찰서.인사동,bus
조계사,bus
조계사,bus
안국동,bus
종로5가.효제동.김상옥의거터,bus
종로5가.효제초등학교,bus
종로5가,bus
청계6가.동대문시장,bus
동대문,bus
충신동,bus
충신동,bus
현대그룹빌딩,bus
통신대(이화장),bus
혜화역.마로니에공원,bus
혜화역.서울대병원입구,bus
통신대(이화장),bus
이화동(이화장),bus
창경궁.서울대학교병원,bus
이화동(이화장),bus
혜화동로터리,bus
명륜동2가.성균관대입구,bus
혜화역.서울연극센터(장면총리가옥),bus
혜화역.동성중고(장면총리가옥),bus
종로구민회관.창신동두산아파트,bus
동묘역앞,bus
동묘역앞,bus
창신3동주민센터,bus
숭인1동주민센터,bus
동묘역.롯데캐슬천지인,bus
신설동로터리,bus
구기동현대빌라,bus
광장시장,bus
혜화경찰서,bus
서울역사박물관.김구집무실(경교장),bus
청계3가.관수교,bus
청계6가.버들다리,bus
청계7가.맑은내다리,bus
청계8가.영도교,bus
원남동사거리,bus
숭인동,bus
조계사,bus
세종문화회관,bus
이화동(이화장),bus
상명대정문,bus
이북오도청,bus
상명대입구.세검정교회,bus
상명대입구.석파랑,bus
종로중부새마을금고,bus
신설동로터리.신한은행앞.서울풍물시장,bus
청계2가.삼일교,bus
청계8가.황학교,bus
광화문,bus
종로1가,bus
종로2가,bus
종로3가,bus
종로3가,bus
종로4가,bus
동대문종합시장종로6가,bus
경복궁역,bus
경복궁역,bus
안국역,bus
안국역,bus
창덕궁,bus
성대입구,bus
평창동삼성아파트,bus
창경궁.고궁호텔.메이플레이스호텔,bus
영천시장,bus
영천시장,bus
동묘앞,bus
동대문(흥인지문),bus
동묘앞,bus
동묘앞,bus
서대문역사거리.적십자병원,bus
안국역.종로경찰서.인사동,bus
안국역.종로경찰서.인사동,bus
창덕궁,bus
세종문화회관,bus
인사동.아벤트리호텔,bus
강북삼성병원,bus
서울역사박물관.경희궁앞,bus
서울역사박물관.경희궁앞,bus
광화문,bus
광화문,bus
종로1가,bus
종로1가,bus
종로2가,bus
종로2가,bus
종로3가.탑골공원,bus
종로3가.탑골공원,bus
종로4가.종묘,bus
종로4가.종묘,bus
종로5가.광장시장,bus
종로5가.광장시장,bus
종로6가.동대문종합시장,bus
종로6가.동대문종합시장,bus
동대문역.흥인지문,bus
JW메리어트동대문호텔,bus
경진빌라,bus
혜화초등학교,bus
명륜시장.성대후문,bus
오거리.한옥마을입구,bus
완성빌라,bus
삼청파출소,bus
양현관,bus
종로5가입구.혜화경찰서,bus
상명대후문,bus
원서고개,bus
샘미용실,bus
창신쌍용2단지.한성대후문,bus
산정빌라,bus
경희궁자이2.3단지,bus
오거리,bus
국민생활관,bus
문방구,bus
마트앞,bus
통인시장,bus
양현관,bus
국민은행.세검정지점,bus
화정박물관,bus
삼청동주민센터,bus
세검초등학교,bus
빨래터,bus
혜화역4번출구,bus
방송통신대앞,bus
평화동물병원,bus
서울대치과대학,bus
서울국제고등학교,bus
샘미용실,bus
효제초교.연동교회.김마리아활동터,bus
박노수미술관,bus
금융연수원,bus
평화동물병원,bus
세탁소,bus
서울대치과대학,bus
낙산공원,bus
명륜3가종점,bus
수성동계곡,bus
서울대학교병원현관.암병원현관,bus
이화사거리,bus
서대문3번출구,bus
통일부,bus
명륜시장.성대후문,bus
평창파출소,bus
가회동주민센터,bus
독립문초등학교,bus
아름다운실버,bus
창덕궁,bus
북촌한옥마을입구.정세권활동터,bus
청룡사.보문파크뷰자이아파트,bus
소나무집,bus
경복궁역,bus
경복궁,bus
종로3가.1.3.5호선,bus
안국선원.삼거리,bus
사우디대사관앞.경남빌라,bus
종로센트레빌후문.e편한세상보문아파트,bus
경희궁자이4단지,bus
언덕앞,bus
혜화우체국,bus
새마을금고,bus
광화문새마을금고,bus
종로4가.종묘공원,bus
인왕빌딩,bus
중앙중고,bus
감사원,bus
명신초.삼선푸르지오.힐스테이트,bus
영천시장,bus
청련사입구,bus
한국사회과학자료원,bus
파라과이대사관,bus
혜화역1번출구,bus
서울대병원장례식장,bus
완성빌라,bus
낙원상가,bus
힐탑,bus
상명대후문,bus
수운회관,bus
넓은마당,bus
화인빌라,bus
서울대어린이병원응급실.갑상선센터,bus
헌법재판소.안국역,bus
무악현대아파트후문,bus
혜원사,bus
이화사거리,bus
산정빌라,bus
아름다운가게.정독도서관,bus
쌍용아파트입구.창신역,bus
천사유치원,bus
보현산신각,bus
원남로터리,bus
문방구,bus
평창공원지킴터입구,bus
통인시장.종로구보건소,bus
삼청파출소,bus
종로사우나,bus
종로도서관,bus
밀알기도원,bus
오거리.한옥마을입구,bus
정독도서관,bus
인사동들머리.3.1독립선언터,bus
종로5가.3번출구,bus
활터앞,bus
제1놀이터,bus
성균관대학교,bus
광화문새마을금고,bus
상명초등학교,bus
단군성전앞,bus
무애사,bus
서교빌라,bus
종각역YMCA,bus
동대문역.2번출구,bus
종로문화센터,bus
EN갤러리,bus
경진빌라,bus
금강제화,bus
창신초교,bus
교남동새마을금고,bus
형제봉매표소,bus
현대사거리,bus
대신중고,bus
연화정사,bus
이화사거리,bus
교육과정평가원,bus
재동초등학교,bus
카센터.터널앞,bus
감람산기도원,bus
금융연수원,bus
충신시장,bus
사직동주민센터,bus
명동의류,bus
박노수미술관,bus
삼청동주민센터,bus
상명대입구,bus
대학로입구.이화사거리,bus
운현궁,bus
배화여중고,bus
귀빈예식장,bus
감사원,bus
청룡사.보문파크뷰자이아파트,bus
강북삼성병원,bus
북악파크,bus
혜화초등학교,bus
상명대입구,bus
사우디대사관,bus
서울시교육청,bus
북악휴게실,bus
세검정교회,bus
안국선원.삼거리,bus
창신역.4번출구,bus
스위스대사관,bus
보현빌라,bus
하림각,bus
북촌한옥마을입구.정세권활동터,bus
숭인1동주민센터,bus
월암공원,bus
지구촌교회,bus
부암슈퍼,bus
볼링장,bus
가회동주민센터,bus
새마을금고,bus
상명초등학교,bus
서울국제고등학교,bus
통일부,bus
종로센트레빌후문.e편한세상보문아파트,bus
국립민속박물관,bus
광화문한국통신,bus
경복궁역,bus
삼청공원,bus
법련사,bus
엄마분식,bus
부암동주민센터.무계원,bus
구기터널입구,bus
청구빌라,bus
독립문역3번출구,bus
신학대학교총회본부,bus
적십자병원후문앞,bus
안국역2번출구앞,bus
종로5가역,bus
동대문종합시장,bus
연건동,bus
명륜새마을금고,bus
성균관대학교앞,bus
성대입구,bus
혜화동로터리,bus
국민생활관,bus
서울성곽.성대후문,bus
성대후문.와룡공원,bus
성균관대학교,bus
동묘역,bus
종로센트레빌아파트,bus
창신초등학교,bus
창신쌍용1단지.종로센트레빌아파트,bus
공평.종각,bus
조계사,bus
독립문역,bus
교남동주민센터,bus
종로1.2.3.4가동주민센터,bus
남대문세무서.서울백병원,bus
서울백병원.국가인권위.안중근활동터,bus
서울역버스환승센터,bus
서울역버스환승센터,bus
서울역버스환승센터,bus
서울역버스환승센터,bus
서울역버스환승센터.강우규의거터,bus
숭례문,bus
만리동고개,bus
손기정체육공원입구,bus
경기여상입구,bus
서울역서부,bus
서울역서부,bus
서울역서부,bus
종근당.충정로역,bus
한국경제신문사,bus
한국경제신문사,bus
경찰청.동북아역사재단,bus
서대문경찰서.농협은행.유관순활동터,bus
염천교,bus
숭례문,bus
숭례문.한국일보,bus
후암삼거리,bus
숭례문,bus
숭례문,bus
숭례문,bus
남대문시장악세사리전문상가,bus
숭례문남산방향,bus
남대문시장,bus
북창동.남대문시장,bus
시청앞,bus
삼성본관앞,bus
시청앞,bus
서소문,bus
서소문,bus
시청.서소문청사,bus
서울신문사,bus
우리은행종로지점,bus
롯데백화점,bus
해운센터.롯데영프라자,bus
롯데영프라자,bus
신세계앞,bus
남대문시장.회현역,bus
남대문시장.회현역,bus
남산3호터널,bus
남산3호터널,bus
명동입구,bus
퇴계로2가.명동역,bus
퇴계로3가.한옥마을.한국의집,bus
퇴계로3가.한옥마을.한국의집,bus
충무로역2번출구.대한극장앞,bus
충무로역8번출구.대한극장앞,bus
초동,bus
을지로입구.로얄호텔,bus
을지로입구.시청입구,bus
을지로2가.기업은행본점.서울노동청,bus
을지로2가.파인에비뉴,bus
을지로3가,bus
을지로3가,bus
을지로4가,bus
을지로4가.베스트웨스턴국도,bus
중구청앞.덕수중학교,bus
을지로5가,bus
을지로5가.중부시장,bus
방산시장.훈련원종합체육관,bus
을지로5가.훈련원종합체육관,bus
을지로6가.국립중앙의료원,bus
광희동,bus
광희동,bus
을지로6가.국립중앙의료원,bus
동대문역사문화공원,bus
동대문역사문화공원,bus
충무아트센터.스포츠센터.중부소방서,bus
충무아트센터.스포츠센터.중부소방서,bus
성동공업고등학교(무궁화회관),bus
성동공업고등학교앞,bus
신당역.중앙시장앞,bus
신당역.중앙시장앞,bus
성동고등학교,bus
성동고등학교,bus
신당동떡볶이타운.중구여성플라자,bus
신당동떡볶이타운.중구여성플라자,bus
신당동.청구역,bus
신당동.청구역,bus
약수역2번출구.가온도서관,bus
약수역3번출구.약수하이츠,bus
약수역4번출구.금호터널입구,bus
약수역5번출구.금호터널입구,bus
약수역8번출구.신당사회복지관,bus
약수역7번출구.약수동주민센터,bus
송도병원앞,bus
송도병원앞,bus
장충체육관앞,bus
장충체육관앞,bus
장충동.동국대입구,bus
장충동.동국대입구,bus
퇴계로6가,bus
퇴계로6가,bus
퇴계로5가.제일병원,bus
퇴계로5가,bus
국립극장.반얀트리호텔,bus
국립극장.반얀트리호텔,bus
청구역,bus
청구역,bus
동화동,bus
동화동,bus
백범광장,bus
남대문경찰서,bus
남대문시장앞.이회영활동터,bus
남산케이블카.남산산책로입구,bus
서울애니메이션센터숭의여대,bus
동대입구역.장충동,bus
청계1가.광교,bus
청계2가.삼일교,bus
청계4가.배오개다리,bus
청계5가.방산시장,bus
청계6가.평화시장,bus
청계7가.동평화.청평화시장,bus
청계8가.영도교,bus
신한은행본점,bus
동대문역사문화공원,bus
버티고개,bus
버티고개,bus
청계3가.세운교,bus
청계6가.오간수교,bus
충무로역.매일경제,bus
을지로입구역.광교,bus
도로교통공단앞,bus
명동국민은행앞,bus
남산북측순환로입구,bus
신당동삼성아파트,bus
신당동대우푸르지오,bus
황학동주민센터,bus
신당초등학교앞,bus
금호베스트빌.삼성래미안아파트,bus
금호베스트빌.삼성래미안아파트,bus
도로교통공단후문,bus
서대문경찰서.농협은행.유관순활동터,bus
교육연구정보원,bus
방산종합시장,bus
황학동롯데캐슬,bus
광희문.광희동사거리,bus
광희문.광희동사거리,bus
황학동롯데캐슬,bus
남대문시장,bus
광화문,bus
시청덕수궁,bus
바비엥스위트,bus
서울역,bus
명동역.세종호텔,bus
